-0.0012782+6.3318e-09i,-0.00036727+2.8832e-07i,-0.0012782,-0.00036727
0.00081475+1.9045e-08i,0.00027548-1.4303e-06i,0.00081475,0.00027548
0.00055066-2.5626e-08i,0.00012178+1.3132e-06i,0.00055066,0.00012178
4.5697e-05+1.333e-09i,1.2327e-05-5.9425e-08i,0.000045697,0.000012327
9.449e-05-7.1758e-10i,2.6507e-05-4.4044e-08i,0.00009449,0.000026507
5.6131e-05-1.0091e-09i,1.0171e-05+1.7627e-07i,0.000056131,0.000010171
1.6914e-05+1.2102e-08i,2.1235e-05+4.8659e-07i,0.000016914,0.000021235
-4.3872e-05+8.174e-09i,-5.8357e-05-3.7942e-07i,-0.000043872,-0.000058357
-5.4463e-05-2.4996e-08i,1.4287e-06+1.546e-07i,-0.000054463,1.4287E-06
-2.9993e-05-6.3915e-09i,3.5293e-06-9.5718e-09i,-0.000029993,3.5293E-06
2.2725e-05+4.7888e-09i,2.9228e-05-8.3536e-07i,0.000022725,0.000029228
-0.0001507-3.9193e-09i,-2.1442e-05+1.8515e-07i,-0.0001507,-0.000021442
